%time,field.data
3656460000000,0.0794367790222
3656500000000,0.0757826566696
3656500000000,0.0733023881912
3656540000000,0.070793390274
3656540000000,0.0678108930588
3656580000000,0.0669450759888
3656580000000,0.0647871494293
3656620000000,0.0634478330612
3656620000000,0.0634362697601
3656660000000,0.0603594779968
3656660000000,0.0611639022827
3656670000000,0.0593250989914
3656710000000,0.0573441982269
3656710000000,0.056453704834
3656720000000,0.0540261268616
3656740000000,0.0513381958008
3656780000000,0.0491800308228
3656820000000,0.0487315654755
3656820000000,0.0475018024445
3656860000000,0.0460226535797
3656860000000,0.0449150800705
3656900000000,0.0434517860413
3656900000000,0.0414872169495
3656940000000,0.0405911207199
3656940000000,0.038428068161
3656980000000,0.0362069606781
3656980000000,0.0359976291656
3657020000000,0.0346364974976
3657020000000,0.0333651304245
3657060000000,0.0325634479523
3657060000000,0.0308270454407
3657100000000,0.0275174379349
3657100000000,0.0274558067322
3657140000000,0.0255539417267
3657140000000,0.0244169235229
3657180000000,0.023948431015
3657180000000,0.0214914083481
3657220000000,0.0200099945068
3657220000000,0.0175923109055
3657220000000,0.0182687044144
3657260000000,0.0160460472107
3657260000000,0.0153121948242
3657280000000,0.014063835144
3657300000000,0.0114331245422
3657340000000,0.0108464956284
3657380000000,0.00943517684937
3657380000000,0.00767695903778
3657420000000,0.00843930244446
3657420000000,0.00658535957336
3657460000000,0.00375926494598
3657460000000,0.00230324268341
3657500000000,0.00257289409637
3657500000000,0.00108289718628
3657540000000,-0.00061959028244
3657540000000,-0.000741302967072
3657580000000,-0.00087034702301
3657580000000,-0.00241404771805
3657620000000,-0.00245124101639
3657620000000,-0.00388491153717
3657660000000,-0.00510716438293
3657660000000,-0.00580704212189
3657700000000,-0.00634002685547
3657700000000,-0.00693786144257
3657740000000,-0.00757002830505
3657740000000,-0.00836431980133
3657740000000,-0.00908899307251
3657780000000,-0.0097171664238
3657780000000,-0.0121129155159
3657800000000,-0.0107232928276
3657820000000,-0.0114558935165
3657860000000,-0.0108378529549
3657900000000,-0.0122404694557
3657900000000,-0.0126487612724
3657940000000,-0.0134304761887
3657940000000,-0.0159269571304
3657980000000,-0.0171996355057
3657980000000,-0.018148958683
3658020000000,-0.0191679596901
3658020000000,-0.0200795531273
3658060000000,-0.0201919674873
3658060000000,-0.020385324955
3658100000000,-0.0201697349548
3658100000000,-0.0201808214188
